ATS System Code,Location Code,Location Name,BEDS Number,Managed By Name,Location Type Description,Location Category Description,Grades,Grades Final,Open Date,Status Description,Building Code,Primary Address,City,State Code,Zip,Principal Name,Geographical District Code,Administrative District Code,Administrative District Location Code,Administrative District Name,,,,,,,,,,,,,,,,,,,,,,,,
02M150,M150,P.S. 150,310200010150,DOE,General Academic,Elementary,"0K,01,02,03,04,05","0K,01,02,03,04,05",Jul 1 2000,Open,M840,334 GREENWICH STREET,MANHATTAN,NY,10013,Maggie Siena,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M151,M151,Yorkville Community School,310200010151,DOE,General Academic,Elementary,"0K,SE",,Jul 1 2009,Open,M816,323 East 91st Street,NEW YORK,NY,10128,Samantha Kaplan,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M158,M158,P.S. 158 Bayard Taylor,310200010158,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05,06",Jul 1 1898,Open,M158,1458 YORK AVENUE,MANHATTAN,NY,10075,Darryl Alhadeff,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M167,M167,J.H.S. 167 Robert F. Wagner,310200010167,DOE,General Academic,Junior High-Intermediate-Middle,"06,07,08,SE","06,07,08",Jul 1 1956,Open,M167,220 EAST 76 STREET,MANHATTAN,NY,10021,Jennifer Rehn,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M183,M183,P.S. 183 Robert L. Stevenson,310200010183,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1904,Open,M183,419 EAST 66 STREET,MANHATTAN,NY,10021,MARY ANNE SACCO,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M198,M198,P.S. 198 Isador E. Ida Straus,310200010198,DOE,General Academic,Elementary,"PK,0K,01,02,03,04,05,06,SE","0K,01,02,03,04,05,06",Jul 1 1960,Open,M198,1700 3 AVENUE,MANHATTAN,NY,10128,Sharon Jeffrey Roebuck,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M212,M212,P.S. 212 Midtown West,310200010212,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1999,Open,M017,328 WEST 48 STREET,MANHATTAN,NY,10036,Dean Ketchum,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M217,M217,P.S./I.S. 217 Roosevelt Island,310200010217,DOE,General Academic,K-8,"0K,01,02,03,04,05,06,07,08,SE","0K,01,02,03,04,05,06,07,08",Jul 1 1999,Open,M271,645 MAIN STREET,MANHATTAN,NY,10044,Mandana Beckman,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M225,M225,Ella Baker School,310200011225,DOE,General Academic,K-8,"PK,0K,01,02,03,04,05,06,07,08","0K,01,02,03,04,05,06,07,08",Jul 1 1999,Open,M480,317 EAST 67 STREET,MANHATTAN,NY,10021,Laura Garcia,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
02M234,M234,P.S. 234 Independence School,310200010234,DOE,General Academic,Elementary,"0K,01,02,03,04,05,SE","0K,01,02,03,04,05",Jul 1 1988,Open,M234,292 GREENWICH STREET,MANHATTAN,NY,10007,lisa ripperger,2,2,M802,COMMUNITY SCHOOL DISTRICT 02,,,,,,,,,,,,,,,,,,,,,,,,
