,system_code,location_code,location_name,primary_address_line_1,LONGITUDE,LATITUDE
1017,01M450,M450,East Side Community School,420 EAST 12 STREET,-73.982472,40.729152
1018,03M452,M452,P.S. 452,210 WEST  61 STREET,-73.987515,40.771603
1019,01M458,M458,Forsyth Satellite Academy,198 FORSYTH STREET,-73.990468,40.722415
1020,02M459,M459,Manhattan International High School,317 EAST  67 STREET,-73.959777,40.765638
1021,02M460,M460,Washington Irving High School,40 IRVING PLACE,-73.987064,40.735361
1022,06M462,M462,The College Academy,549 AUDUBON AVENUE,-73.92606,40.856532
1023,06M463,M463,High School for Media and Communications,549 AUDUBON AVENUE,-73.92606,40.856532
1024,06M467,M467,High School for Law and Public Service,549 AUDUBON AVENUE,-73.92606,40.856532
1025,06M468,M468,High School for Health Careers and Sciences,549 AUDUBON AVENUE,-73.92606,40.856532
1026,05M469,M469,Choir Academy of Harlem,2005 MADISON AVENUE,-73.938714,40.807019
1027,03M470,M470,Louis D. Brandeis High School,145 WEST  84 STREET,-73.974483,40.786134
1028,02M475,M475,Stuyvesant High School,345 CHAMBERS STREET,-74.013921,40.718025
1029,84M478,M478,Inwood Academy for Leadership Charter School,3896 10 Avenue,-73.918591,40.865508
1030,03M479,M479,Beacon High School,522 WEST 44TH STREET,-73.996262,40.760858
1031,03M479,M479,Beacon High School,522 WEST 44TH STREET,-73.996262,40.760858
1032,84M481,M481,Democracy Prep Harlem Charter School,207 WEST 133RD STREET,-73.945,40.814598
1033,84M482,M482,Success Academy Charter School - Harlem 5,301 WEST 140 STREET,-73.944551,40.820216
1034,84M483,M483,New York French American Charter School,311 WEST 120TH STREET,-73.954228,40.807537
1035,03M485,M485,Fiorello H. LaGuardia High School of Music & Art a,100 AMSTERDAM AVENUE,-73.985976,40.774202
1036,02M489,M489,High School of Economics and Finance,100 TRINITY PLACE,-74.012328,40.70927
1037,03M490,M490,Martin Luther King Hs,122 AMSTERDAM AVENUE,-73.9848,40.7743
1038,03M492,M492,"High School for Law, Advocacy and Community Justic",122 AMSTERDAM AVENUE,-73.985608,40.774891
1039,03M494,M494,High School of Arts and Technology,122 AMSTERDAM AVENUE,-73.985608,40.774891
1040,04M495,M495,Park East High School,230 EAST 105 STREET,-73.944092,40.790191
1041,04M497,M497,Central Park East I,1573 MADISON AVENUE,-73.948488,40.793649
1042,05M499,M499,Frederick Douglass Academy,2581 7TH AVENUE,-73.935746,40.823988
1043,02M500,M500,Unity Center for Urban Technologies,111 EAST  33RD STREET,-73.98107,40.74651
1044,75M501,M501,Home Instruction,3450 EAST TREMONT AVENUE,-73.827642,40.831829
1045,03M505,M505,Edward A. Reynolds West Side High School,140 WEST 102 STREET,-73.966779,40.797136
